Amazonas ; 68,2 ; 55,76 ; 66,64239371686743 ; -10,882393716867433
Antioquia ; 81,33 ; 83,38 ; 76,89893727649134 ; 6,481062723508657
Arauca ; 58,82 ; 54,41 ; 49,31316111302198 ; 5,09683888697802
Atlantico ; 74,15 ; 70,4 ; 68,8668714191026 ; 1,5331285808974116
Bolivar ; 74,83 ; 82,5 ; 69,93376629063381 ; 12,566233709366188
Boyaca ; 78,97 ; 72,55 ; 72,7720820669944 ; -0,22208206699440325
Caldas ; 90,75 ; 92,57 ; 86,53409550037034 ; 6,035904499629652
Caqueta ; 66,7 ; 65,57 ; 64,10857934059618 ; 1,4614206594038137
Casanare ; 75,85 ; 74,63 ; 66,95738741930822 ; 7,672612580691776
Cauca ; 72,34 ; 61,15 ; 73,92206736584012 ; -12,772067365840122
Cesar ; 74,24 ; 72,16 ; 68,98611679317996 ; 3,1738832068200367
Choco ; 47,49 ; 51,23 ; 44,1357646090594 ; 7,094235390940597
Cordoba ; 68,02 ; 65,12 ; 63,28784009306381 ; 1,832159906936198
Cundinamarca ; 91,75 ; 95,39 ; 87,41717067598096 ; 7,972829324019045
Guainia ; 57,83 ; 59,99 ; 48,82392175976029 ; 11,166078240239713
Guajira ; 49,12 ; 61,4 ; 43,95303976634889 ; 17,44696023365111
Guaviare ; 71,26 ; 69,77 ; 63,88642833447783 ; 5,883571665522169
Huila ; 71,26 ; 73,57 ; 68,09624786824241 ; 5,473752131757578
Magdalena ; 70,96 ; 68,21 ; 65,89994856731632 ; 2,3100514326836787
Meta ; 82,48 ; 83,3 ; 75,42430227310093 ; 7,8756977268990624
Nariño ; 54,28 ; 70,14 ; 70,63 ; -0,4899999999999949
Norte de Santander ; 69,28 ; 74,63 ; 63,487996939518105 ; 11,14200306048189
Putumayo ; 46,33 ; 42,13 ; 49,75326010582593 ; -7,623260105825928
Quindio ; 79,06 ; 79,98 ; 76,48582400408839 ; 3,4941759959116183
Risaralda ; 76,3 ; 75,47 ; 73,09315482465962 ; 2,376845175340378
San Andres y Providencia ; 69,15 ; 68,72 ; 69,18 ; -0,46000000000000796
Santander ; 69,89 ; 70,75 ; 64,66577987336352 ; 6,084220126636481
Sucre ; 67,95 ; 60,92 ; 62,79080319184882 ; -1,8708031918488217
Tolima ; 79,25 ; 84,46 ; 76,8291074765074 ; 7,630892523492591
Valle del Cauca ; 83,47 ; 71,61 ; 81,41518365603099 ; -9,80518365603099
Vaupes ; 57,44 ; 53,43 ; 52,05533078792543 ; 1,374669212074572
Vichada ; 61,29 ; 47,17 ; 47,31 ; -0,14000000000000057
