Amazonas ; 68,2 ; 55,76 ; 72,97909032151495 ; -17,219090321514948
Antioquia ; 81,33 ; 83,38 ; 86,88608817359462 ; -3,5060881735946197
Arauca ; 58,82 ; 54,41 ; 64,04954672836605 ; -9,639546728366057
Atlantico ; 74,15 ; 70,4 ; 81,834773442621 ; -11,434773442620994
Bolivar ; 74,83 ; 82,5 ; 82,5 ; 0,0
Boyaca ; 78,97 ; 72,55 ; 84,74827797807029 ; -12,198277978070294
Caldas ; 90,75 ; 92,57 ; 95,94103403803678 ; -3,3710340380367825
Caqueta ; 66,7 ; 65,57 ; 71,66574824465536 ; -6,095748244655368
Casanare ; 75,85 ; 74,63 ; 80,97702236934312 ; -6,347022369343122
Cauca ; 72,34 ; 61,15 ; 77,5267062117809 ; -16,376706211780906
Cesar ; 74,24 ; 72,16 ; 81,3327235812551 ; -9,172723581255099
Choco ; 47,49 ; 51,23 ; 52,745729311866135 ; -1,5157293118661386
Cordoba ; 68,02 ; 65,12 ; 69,97536272453154 ; -4,855362724531531
Cundinamarca ; 91,75 ; 95,39 ; 97,19629394855029 ; -1,806293948550291
Guainia ; 57,83 ; 59,99 ; 62,997399291730616 ; -3,0073992917306143
Guajira ; 49,12 ; 61,4 ; 56,53113523324854 ; 4,868864766751457
Guaviare ; 71,26 ; 69,77 ; 76,41299661261311 ; -6,642996612613118
Huila ; 71,26 ; 73,57 ; 76,35064978715562 ; -2,7806497871556246
Magdalena ; 70,96 ; 68,21 ; 78,57465806428115 ; -10,364658064281159
Meta ; 82,48 ; 83,3 ; 87,47946550866206 ; -4,179465508662062
Nariño ; 54,28 ; 70,14 ; 59,1417798850905 ; 10,9982201149095
Norte de Santander ; 69,28 ; 74,63 ; 75,46776022277616 ; -0,8377602227761685
Putumayo ; 46,33 ; 42,13 ; 51,50333116576042 ; -9,373331165760419
Quindio ; 79,06 ; 79,98 ; 84,20980587050464 ; -4,229805870504634
Risaralda ; 76,3 ; 75,47 ; 81,73950934582008 ; -6,269509345820083
San Andres y Providencia ; 69,15 ; 68,72 ; 69,35000000000001 ; -0,6300000000000097
Santander ; 69,89 ; 70,75 ; 76,37896999113924 ; -5,628969991139243
Sucre ; 67,95 ; 60,92 ; 60,92 ; 0,0
Tolima ; 79,25 ; 84,46 ; 84,55715429046523 ; -0,09715429046524093
Valle del Cauca ; 83,47 ; 71,61 ; 88,7137810060874 ; -17,103781006087402
Vaupes ; 57,44 ; 53,43 ; 62,4788086176285 ; -9,048808617628502
Vichada ; 61,29 ; 47,17 ; 66,59728610214299 ; -19,427286102142986
