Amazonas ; 68,2 ; 55,76 ; 84,17 ; -28,410000000000004
Antioquia ; 81,33 ; 83,38 ; 97,39 ; -14,010000000000005
Arauca ; 58,82 ; 54,41 ; 74,94000000000001 ; -20,530000000000015
Atlantico ; 74,15 ; 70,4 ; 90,46000000000001 ; -20,060000000000002
Bolivar ; 74,83 ; 82,5 ; 91,03999999999999 ; -8,539999999999992
Boyaca ; 78,97 ; 72,55 ; 95,31 ; -22,760000000000005
Caldas ; 90,75 ; 92,57 ; 106,99 ; -14,420000000000002
Caqueta ; 66,7 ; 65,57 ; 82,62 ; -17,05000000000001
Casanare ; 75,85 ; 74,63 ; 91,86999999999999 ; -17,239999999999995
Cauca ; 72,34 ; 61,15 ; 88,55 ; -27,4
Cesar ; 74,24 ; 72,16 ; 90,58 ; -18,42
Choco ; 47,49 ; 51,23 ; 63,620000000000005 ; -12,390000000000008
Cordoba ; 68,02 ; 65,12 ; 83,99 ; -18,86999999999999
Cundinamarca ; 91,75 ; 95,39 ; 107,7 ; -12,310000000000002
Guainia ; 57,83 ; 59,99 ; 74,13 ; -14,139999999999993
Guajira ; 49,12 ; 61,4 ; 65,16999999999999 ; -3,769999999999989
Guaviare ; 71,26 ; 69,77 ; 87,57000000000001 ; -17,80000000000001
Huila ; 71,26 ; 73,57 ; 87,28 ; -13,710000000000008
Magdalena ; 70,96 ; 68,21 ; 87,13 ; -18,92
Meta ; 82,48 ; 83,3 ; 98,65 ; -15,350000000000009
Nariño ; 54,28 ; 70,14 ; 70,14 ; 0,0
Norte de Santander ; 69,28 ; 74,63 ; 85,19 ; -10,560000000000002
Putumayo ; 46,33 ; 42,13 ; 62,5 ; -20,369999999999997
Quindio ; 79,06 ; 79,98 ; 95,36 ; -15,379999999999995
Risaralda ; 76,3 ; 75,47 ; 92,24 ; -16,769999999999996
San Andres y Providencia ; 69,15 ; 68,72 ; 69,36 ; -0,6400000000000006
Santander ; 69,89 ; 70,75 ; 86,18 ; -15,430000000000007
Sucre ; 67,95 ; 60,92 ; 83,88 ; -22,959999999999994
Tolima ; 79,25 ; 84,46 ; 95,57 ; -11,11
Valle del Cauca ; 83,47 ; 71,61 ; 99,59 ; -27,980000000000004
Vaupes ; 57,44 ; 53,43 ; 73,59 ; -20,160000000000004
Vichada ; 61,29 ; 47,17 ; 47,17 ; 0,0
