Amazonas ; 68,2 ; 55,76 ; 55,76 ; 0,0
Antioquia ; 81,33 ; 83,38 ; 97,5 ; -14,120000000000005
Arauca ; 58,82 ; 54,41 ; 75,02000000000001 ; -20,610000000000014
Atlantico ; 74,15 ; 70,4 ; 90,38000000000001 ; -19,980000000000004
Bolivar ; 74,83 ; 82,5 ; 91,1 ; -8,599999999999994
Boyaca ; 78,97 ; 72,55 ; 94,89 ; -22,340000000000003
Caldas ; 90,75 ; 92,57 ; 106,95 ; -14,38000000000001
Caqueta ; 66,7 ; 65,57 ; 83,05 ; -17,480000000000004
Casanare ; 75,85 ; 74,63 ; 91,89 ; -17,260000000000005
Cauca ; 72,34 ; 61,15 ; 88,48 ; -27,330000000000005
Cesar ; 74,24 ; 72,16 ; 90,22999999999999 ; -18,069999999999993
Choco ; 47,49 ; 51,23 ; 63,67 ; -12,440000000000005
Cordoba ; 68,02 ; 65,12 ; 84,28999999999999 ; -19,169999999999987
Cundinamarca ; 91,75 ; 95,39 ; 108,03 ; -12,64
Guainia ; 57,83 ; 59,99 ; 74,16 ; -14,169999999999995
Guajira ; 49,12 ; 61,4 ; 61,4 ; 0,0
Guaviare ; 71,26 ; 69,77 ; 87,54 ; -17,77000000000001
Huila ; 71,26 ; 73,57 ; 87,55000000000001 ; -13,980000000000018
Magdalena ; 70,96 ; 68,21 ; 86,97999999999999 ; -18,769999999999996
Meta ; 82,48 ; 83,3 ; 98,44 ; -15,14
Nariño ; 54,28 ; 70,14 ; 70,41 ; -0,269999999999996
Norte de Santander ; 69,28 ; 74,63 ; 85,32000000000001 ; -10,690000000000012
Putumayo ; 46,33 ; 42,13 ; 62,4 ; -20,269999999999996
Quindio ; 79,06 ; 79,98 ; 95,15 ; -15,170000000000002
Risaralda ; 76,3 ; 75,47 ; 92,53 ; -17,060000000000002
San Andres y Providencia ; 69,15 ; 68,72 ; 69,56 ; -0,8400000000000034
Santander ; 69,89 ; 70,75 ; 86,0 ; -15,25
Sucre ; 67,95 ; 60,92 ; 83,97 ; -23,049999999999997
Tolima ; 79,25 ; 84,46 ; 95,53 ; -11,070000000000007
Valle del Cauca ; 83,47 ; 71,61 ; 99,37 ; -27,760000000000005
Vaupes ; 57,44 ; 53,43 ; 73,55 ; -20,119999999999997
Vichada ; 61,29 ; 47,17 ; 77,60000000000001 ; -30,430000000000007
